timestamp_pc;tempo_s;rpm_bruto;rpm_calibrado;freq_hz
14:35:23.190012;22.28;2255.27;2246.39;75.00
14:35:23.389671;22.48;2255.27;2246.39;75.00
14:35:23.590189;22.68;2254.34;2245.45;75.00
14:35:23.790116;22.88;2254.34;2245.45;75.00
14:35:23.990433;23.08;2254.34;2245.45;75.00
14:35:24.190401;23.28;2254.34;2245.45;75.00
14:35:24.390311;23.48;2254.34;2245.45;75.00
14:35:24.589946;23.68;2253.40;2244.52;75.00
14:35:24.789985;23.88;2253.40;2244.52;75.00
14:35:24.990054;24.08;2253.40;2244.52;75.00
14:35:25.190098;24.28;2253.87;2244.99;75.00
14:35:25.390022;24.48;2253.87;2244.99;75.00
14:35:25.589949;24.68;2254.10;2245.22;75.00
14:35:25.790445;24.88;2254.10;2245.22;75.00
14:35:25.989712;25.08;2254.10;2245.22;75.00
14:35:26.190196;25.28;2254.45;2245.57;75.00
14:35:26.390404;25.48;2254.45;2245.57;75.00
14:35:26.591053;25.68;2252.70;2243.82;75.00
14:35:26.790142;25.88;2252.70;2243.82;75.00
14:35:26.990406;26.08;2252.70;2243.82;75.00
14:35:27.190626;26.28;2254.45;2245.57;75.00
14:35:27.390150;26.48;2254.45;2245.57;75.00
14:35:27.590187;26.68;2254.92;2246.04;75.00
14:35:27.790641;26.88;2254.92;2246.04;75.00
14:35:27.990174;27.08;2254.92;2246.04;75.00
14:35:28.190593;27.28;2254.92;2246.04;75.00
14:35:28.390593;27.48;2254.92;2246.04;75.00
14:35:28.591012;27.68;2256.68;2247.79;75.00
14:35:28.791097;27.88;2256.68;2247.79;75.00
14:35:28.990126;28.08;2256.68;2247.79;75.00
14:35:29.190444;28.28;2256.56;2247.67;75.00
14:35:29.390675;28.48;2256.56;2247.67;75.00
14:35:29.590307;28.68;2256.91;2248.02;75.00
14:35:29.790246;28.88;2256.91;2248.02;75.00
14:35:29.990669;29.08;2256.91;2248.02;75.00
14:35:30.190649;29.28;2256.68;2247.79;75.00
14:35:30.390936;29.48;2256.68;2247.79;75.00
14:35:30.590723;29.68;2254.92;2246.04;75.00
14:35:30.790756;29.88;2254.92;2246.04;75.00
14:35:30.990690;30.08;2254.92;2246.04;75.00
14:35:31.190647;30.28;2253.98;2245.10;75.00
14:35:31.389953;30.48;2253.98;2245.10;75.00
14:35:31.590788;30.68;2254.45;2245.57;75.00
14:35:31.789930;30.88;2254.45;2245.57;75.00
14:35:31.991106;31.08;2254.45;2245.57;75.00
14:35:32.190585;31.28;2254.57;2245.69;75.00
14:35:32.390438;31.48;2254.57;2245.69;75.00
14:35:32.589991;31.68;2253.40;2244.52;75.00
14:35:32.790372;31.88;2253.40;2244.52;75.00
14:35:32.990625;32.08;2253.40;2244.52;75.00
14:35:33.190747;32.28;2252.34;2243.47;75.00
14:35:33.390742;32.48;2252.34;2243.47;75.00
14:35:33.590571;32.68;2252.23;2243.35;75.00
14:35:33.790123;32.88;2252.23;2243.35;75.00
14:35:33.990679;33.08;2252.23;2243.35;75.00
14:35:34.190883;33.28;2253.16;2244.29;75.00
14:35:34.390461;33.48;2253.16;2244.29;75.00
14:35:34.590901;33.68;2255.27;2246.39;75.00
14:35:34.790843;33.88;2255.27;2246.39;75.00
14:35:34.990631;34.08;2255.27;2246.39;75.00
14:35:35.190781;34.28;2254.57;2245.69;75.00
14:35:35.390705;34.48;2254.57;2245.69;75.00
14:35:35.590763;34.68;2254.69;2245.80;75.00
14:35:35.790777;34.88;2254.69;2245.80;75.00
14:35:35.990776;35.08;2254.69;2245.80;75.00
14:35:36.190617;35.28;2256.68;2247.79;75.00
14:35:36.391173;35.48;2256.68;2247.79;75.00
14:35:36.590131;35.68;2258.32;2249.42;75.00
14:35:36.791538;35.88;2258.32;2249.42;75.00
14:35:36.990818;36.08;2258.32;2249.42;75.00
14:35:37.190648;36.28;2255.74;2246.85;75.00
14:35:37.390241;36.48;2255.74;2246.85;75.00
14:35:37.590999;36.68;2256.21;2247.32;75.00
14:35:37.790674;36.88;2256.21;2247.32;75.00
14:35:37.995099;37.08;2256.21;2247.32;75.00
14:35:38.190629;37.28;2257.27;2248.37;75.00
14:35:38.391072;37.48;2257.27;2248.37;75.00
14:35:38.590968;37.68;2255.16;2246.27;75.00
14:35:38.791022;37.88;2255.16;2246.27;75.00
14:35:38.990658;38.08;2255.16;2246.27;75.00
14:35:39.190657;38.28;2254.57;2245.69;75.00
14:35:39.390949;38.48;2254.57;2245.69;75.00
14:35:39.591267;38.68;2254.22;2245.34;75.00
14:35:39.790628;38.88;2254.22;2245.34;75.00
14:35:39.991061;39.08;2254.22;2245.34;75.00
14:35:40.191146;39.28;2253.63;2244.75;75.00
14:35:40.390969;39.48;2253.63;2244.75;75.00
14:35:40.590960;39.68;2253.52;2244.64;75.00
14:35:40.791123;39.88;2253.52;2244.64;75.00
14:35:40.991124;40.08;2253.52;2244.64;75.00
14:35:41.190811;40.28;2253.40;2244.52;75.00
14:35:41.391153;40.48;2253.40;2244.52;75.00
14:35:41.590743;40.68;2253.63;2244.75;75.00
14:35:41.791259;40.88;2253.63;2244.75;75.00
14:35:41.991065;41.08;2253.63;2244.75;75.00
14:35:42.190969;41.28;2253.40;2244.52;75.00
14:35:42.391037;41.48;2253.40;2244.52;75.00
14:35:42.591030;41.68;2255.16;2246.27;75.00
14:35:42.791079;41.88;2255.16;2246.27;75.00
14:35:42.991274;42.08;2255.16;2246.27;75.00
14:35:43.191211;42.28;2255.51;2246.62;75.00
14:35:43.390789;42.48;2255.51;2246.62;75.00
14:35:43.590735;42.68;2256.09;2247.20;75.00
14:35:43.791003;42.88;2256.09;2247.20;75.00
14:35:43.991096;43.08;2256.09;2247.20;75.00
14:35:44.190897;43.28;2257.38;2248.49;75.00
14:35:44.391023;43.48;2257.38;2248.49;75.00
14:35:44.590992;43.68;2255.51;2246.62;75.00
14:35:44.791230;43.88;2255.51;2246.62;75.00
14:35:44.991287;44.08;2255.51;2246.62;75.00
14:35:45.190831;44.28;2256.56;2247.67;75.00
14:35:45.391623;44.48;2256.56;2247.67;75.00
14:35:45.591308;44.68;2257.27;2248.37;75.00
14:35:45.791177;44.88;2257.27;2248.37;75.00
14:35:46.005648;45.08;2257.27;2248.37;75.00
14:35:46.191568;45.28;2255.51;2246.62;75.00
14:35:46.391792;45.48;2255.51;2246.62;75.00
14:35:46.591685;45.68;2255.62;2246.74;75.00
14:35:46.791093;45.88;2255.62;2246.74;75.00
14:35:46.991418;46.08;2255.62;2246.74;75.00
14:35:47.191476;46.28;2254.69;2245.80;75.00
14:35:47.391237;46.48;2254.69;2245.80;75.00
14:35:47.590826;46.68;2253.87;2244.99;75.00
14:35:47.791396;46.88;2253.87;2244.99;75.00
14:35:47.990581;47.08;2253.87;2244.99;75.00
14:35:48.190638;47.28;2253.63;2244.75;75.00
14:35:48.390688;47.48;2253.63;2244.75;75.00
14:35:48.590839;47.68;2254.22;2245.34;75.00
14:35:48.791509;47.88;2254.22;2245.34;75.00
14:35:48.991466;48.08;2254.22;2245.34;75.00
14:35:49.190748;48.28;2254.80;2245.92;75.00
14:35:49.391528;48.48;2254.80;2245.92;75.00
14:35:49.591533;48.68;2253.98;2245.10;75.00
14:35:49.791577;48.88;2253.98;2245.10;75.00
14:35:49.991622;49.08;2253.98;2245.10;75.00
14:35:50.191432;49.28;2255.04;2246.15;75.00
14:35:50.391042;49.48;2255.04;2246.15;75.00
14:35:50.591355;49.68;2257.27;2248.37;75.00
14:35:50.791513;49.88;2257.27;2248.37;75.00
14:35:50.991469;50.08;2257.27;2248.37;75.00
14:35:51.191418;50.28;2255.86;2246.97;75.00
14:35:51.391513;50.48;2255.86;2246.97;75.00
14:35:51.591497;50.68;2257.15;2248.26;75.00
14:35:51.791476;50.88;2257.15;2248.26;75.00
14:35:51.991448;51.08;2257.15;2248.26;75.00
14:35:52.191317;51.28;2256.45;2247.55;75.00
14:35:52.391542;51.48;2256.45;2247.55;75.00
14:35:52.591074;51.68;2257.03;2248.14;75.00
14:35:52.791482;51.88;2257.03;2248.14;75.00
14:35:52.991650;52.08;2257.03;2248.14;75.00
