timestamp_pc;tempo_s;rpm_bruto;rpm_calibrado;freq_hz
14:33:42.571158;34.68;1804.69;1797.58;60.00
14:33:42.771619;34.88;1804.69;1797.58;60.00
14:33:42.971713;35.08;1804.69;1797.58;60.00
14:33:43.171832;35.28;1804.34;1797.23;60.00
14:33:43.371629;35.48;1804.34;1797.23;60.00
14:33:43.571776;35.68;1804.80;1797.69;60.00
14:33:43.771924;35.88;1804.80;1797.69;60.00
14:33:43.971068;36.08;1804.80;1797.69;60.00
14:33:44.171495;36.28;1805.86;1798.74;60.00
14:33:44.371308;36.48;1805.86;1798.74;60.00
14:33:44.571861;36.68;1804.57;1797.46;60.00
14:33:44.771831;36.88;1804.57;1797.46;60.00
14:33:44.971867;37.08;1804.57;1797.46;60.00
14:33:45.172032;37.28;1805.86;1798.74;60.00
14:33:45.372067;37.48;1805.86;1798.74;60.00
14:33:45.571882;37.68;1805.39;1798.28;60.00
14:33:45.771881;37.88;1805.39;1798.28;60.00
14:33:45.971922;38.08;1805.39;1798.28;60.00
14:33:46.171808;38.28;1803.87;1796.76;60.00
14:33:46.371460;38.48;1803.87;1796.76;60.00
14:33:46.571947;38.68;1803.52;1796.41;60.00
14:33:46.771979;38.88;1803.52;1796.41;60.00
14:33:46.971991;39.08;1803.52;1796.41;60.00
14:33:47.171665;39.28;1803.16;1796.06;60.00
14:33:47.371950;39.48;1803.16;1796.06;60.00
14:33:47.571928;39.68;1803.28;1796.18;60.00
14:33:47.771614;39.88;1803.28;1796.18;60.00
14:33:47.971274;40.08;1803.28;1796.18;60.00
14:33:48.172034;40.28;1802.58;1795.48;60.00
14:33:48.371720;40.48;1802.58;1795.48;60.00
14:33:48.572168;40.68;1802.81;1795.71;60.00
14:33:48.771480;40.88;1802.81;1795.71;60.00
14:33:48.971199;41.08;1802.81;1795.71;60.00
14:33:49.171798;41.28;1802.11;1795.01;60.00
14:33:49.371880;41.48;1802.11;1795.01;60.00
14:33:49.572014;41.68;1802.23;1795.13;60.00
14:33:49.772109;41.88;1802.23;1795.13;60.00
14:33:49.971436;42.08;1802.23;1795.13;60.00
14:33:50.171383;42.28;1802.23;1795.13;60.00
14:33:50.372016;42.48;1802.23;1795.13;60.00
14:33:50.572080;42.68;1802.93;1795.83;60.00
14:33:50.771979;42.88;1802.93;1795.83;60.00
14:33:50.972032;43.08;1802.93;1795.83;60.00
14:33:51.172087;43.28;1803.28;1796.18;60.00
14:33:51.371975;43.48;1803.28;1796.18;60.00
14:33:51.572111;43.68;1803.52;1796.41;60.00
14:33:51.772118;43.88;1803.52;1796.41;60.00
14:33:51.972163;44.08;1803.52;1796.41;60.00
14:33:52.172074;44.28;1804.57;1797.46;60.00
14:33:52.371669;44.48;1804.57;1797.46;60.00
14:33:52.572231;44.68;1804.92;1797.81;60.00
14:33:52.771858;44.88;1804.92;1797.81;60.00
14:33:52.972112;45.08;1804.92;1797.81;60.00
14:33:53.172144;45.28;1804.92;1797.81;60.00
14:33:53.371961;45.48;1804.92;1797.81;60.00
14:33:53.572051;45.68;1804.80;1797.69;60.00
14:33:53.772179;45.88;1804.80;1797.69;60.00
14:33:53.971691;46.08;1804.80;1797.69;60.00
14:33:54.172142;46.28;1804.34;1797.23;60.00
14:33:54.372086;46.48;1804.34;1797.23;60.00
14:33:54.572113;46.68;1805.74;1798.63;60.00
14:33:54.772292;46.88;1805.74;1798.63;60.00
14:33:54.972249;47.08;1805.74;1798.63;60.00
14:33:55.172158;47.28;1805.27;1798.16;60.00
14:33:55.372251;47.48;1805.27;1798.16;60.00
14:33:55.572192;47.68;1803.63;1796.53;60.00
14:33:55.771995;47.88;1803.63;1796.53;60.00
14:33:55.972280;48.08;1803.63;1796.53;60.00
14:33:56.171869;48.28;1804.34;1797.23;60.00
14:33:56.372329;48.48;1804.34;1797.23;60.00
14:33:56.571900;48.68;1804.69;1797.58;60.00
